Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Alexis Mac Allister,ARG,MF,26-102,29,26,2201.0,24.5,3,3,6,3,0,0,6,0,2.3,2.3,4.1,6.4,30,152,62,0.12,0.12,0.25,0.12,0.25,0.10,0.17,0.26,0.10,0.26,Matches,Liverpool
Alisson,BRA,GK,32-185,21,21,1878.0,20.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,Liverpool
Andrew Robertson,SCO,DF,31-025,28,25,2106.0,23.4,0,0,0,0,0,0,3,1,0.9,0.9,4.1,5.1,54,158,87,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.22,0.04,0.22,Matches,Liverpool
Caoimhín Kelleher,IRL,GK,26-133,9,9,810.0,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Liverpool
Cody Gakpo,NED,FW,25-333,27,16,1416.0,15.7,8,3,11,8,0,0,4,0,6.0,6.0,3.5,9.4,38,44,212,0.51,0.19,0.70,0.51,0.70,0.38,0.22,0.60,0.38,0.60,Matches,Liverpool
Conor Bradley,NIR,DF,21-270,12,2,372.0,4.1,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,17,17,18,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,Liverpool
Curtis Jones,ENG,"MF,FW",24-065,25,14,1257.0,14.0,3,3,6,3,0,0,3,1,4.0,4.0,0.9,4.9,16,71,59,0.21,0.21,0.43,0.21,0.43,0.29,0.07,0.35,0.29,0.35,Matches,Liverpool
Darwin Núñez,URU,FW,25-285,24,8,986.0,11.0,5,2,7,5,0,0,8,0,5.0,5.0,1.2,6.2,20,22,67,0.46,0.18,0.64,0.46,0.64,0.45,0.11,0.57,0.45,0.57,Matches,Liverpool
Diogo Jota,POR,FW,28-122,19,11,918.0,10.2,6,3,9,6,0,0,2,0,6.5,6.5,1.8,8.3,33,27,77,0.59,0.29,0.88,0.59,0.88,0.64,0.18,0.81,0.64,0.81,Matches,Liverpool
Dominik Szoboszlai,HUN,MF,24-162,28,23,2043.0,22.7,5,3,8,5,0,0,6,0,6.8,6.8,5.0,11.8,63,105,115,0.22,0.13,0.35,0.22,0.35,0.30,0.22,0.52,0.30,0.52,Matches,Liverpool
Harvey Elliott,ENG,"MF,FW",22-001,11,0,128.0,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.8,1.0,7,17,14,0.00,0.70,0.70,0.00,0.70,0.14,0.54,0.68,0.14,0.68,Matches,Liverpool
Ibrahima Konaté,FRA,DF,25-315,24,23,1984.0,22.0,1,2,3,1,0,0,5,0,1.5,1.5,0.9,2.4,20,92,2,0.05,0.09,0.14,0.05,0.14,0.07,0.04,0.11,0.07,0.11,Matches,Liverpool
Jarell Quansah,ENG,DF,22-066,10,2,292.0,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,10,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Liverpool
Joe Gomez,ENG,DF,27-317,9,6,519.0,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,Liverpool
Kostas Tsimikas,GRE,DF,28-328,14,5,517.0,5.7,0,1,1,0,0,0,2,0,0.1,0.1,1.0,1.1,13,53,25,0.00,0.17,0.17,0.00,0.17,0.02,0.18,0.20,0.02,0.20,Matches,Liverpool
Luis Díaz,COL,FW,28-082,29,23,1935.0,21.5,9,5,14,9,0,0,2,0,7.9,7.9,3.8,11.6,94,93,238,0.42,0.23,0.65,0.42,0.65,0.37,0.17,0.54,0.37,0.54,Matches,Liverpool
Mohamed Salah,EGY,FW,32-294,30,30,2657.0,29.5,27,17,44,18,9,9,1,0,22.1,15.0,11.2,26.2,124,114,375,0.91,0.58,1.49,0.61,1.19,0.75,0.38,1.13,0.51,0.89,Matches,Liverpool
Ryan Gravenberch,NED,MF,22-324,30,30,2561.0,28.5,0,2,2,0,0,0,5,0,0.9,0.9,2.8,3.7,56,144,48,0.00,0.07,0.07,0.00,0.07,0.03,0.10,0.13,0.03,0.13,Matches,Liverpool
Trent Alexander-Arnold,ENG,DF,26-180,28,26,2145.0,23.8,2,6,8,2,0,0,4,0,1.6,1.6,6.7,8.3,48,204,87,0.08,0.25,0.34,0.08,0.34,0.07,0.28,0.35,0.07,0.35,Matches,Liverpool
Virgil van Dijk,NED,DF,33-271,30,30,2700.0,30.0,1,1,2,1,0,0,3,0,1.6,1.6,0.5,2.0,16,145,5,0.03,0.03,0.07,0.03,0.07,0.05,0.02,0.07,0.05,0.07,Matches,Liverpool
Wataru Endo,JPN,MF,32-055,15,0,148.0,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,Liverpool
