player_name,transfer_value
Aaron Ramsdale,€16.00m
Aaron Wan-Bissaka,€22.00m
Abdoulaye Doucouré,€8.00m
Adam Armstrong,"€14.00m
Last update: Mar 28, 2025"
Adam Smith,€1.00m
Adam Wharton,€35.00m
Adama Traoré,€10.00m
Alejandro Garnacho,"€45.00m
Last update: Mar 18, 2025"
Alex Iwobi,"€25.00m
Last update: Dec 16, 2024"
Alexander Isak,€100.00m
Alexis Mac Allister,"€90.00m
Last update: Mar 18, 2025"
Alisson,"€25.00m
Last update: Dec 16, 2024"
Alphonse Areola,€10.00m
Amad Diallo,€40.00m
Amadou Onana,€55.00m
Andreas Pereira,€20.00m
Andrew Robertson,€20.00m
André,N/a
André Onana,"€32.00m
Last update: Mar 18, 2025"
Anthony Elanga,"€35.00m
Last update: Mar 18, 2025"
Anthony Gordon,"€65.00m
Last update: Mar 18, 2025"
Antoine Semenyo,€35.00m
Antonee Robinson,"€35.00m
Last update: Mar 18, 2025"
Archie Gray,"€35.00m
Last update: Mar 18, 2025"
Arijanet Muric,€6.00m
Ashley Young,"€500k
Last update: Dec 16, 2024"
Axel Tuanzebe,€5.00m
Bart Verbruggen,€25.00m
Ben Davies,€8.00m
Ben Johnson,€9.00m
Bernardo Silva,"€45.00m
Last update: Mar 18, 2025"
Bernd Leno,"€11.00m
Last update: Dec 16, 2024"
Beto,N/a
Bilal El Khannouss,€30.00m
Boubacar Kamara,€38.00m
Boubakary Soumaré,€14.00m
Brennan Johnson,€50.00m
Bruno Fernandes,€55.00m
Bruno Guimarães,"€80.00m
Last update: Dec 16, 2024"
Bryan Mbeumo,€50.00m
Bukayo Saka,€150.00m
Caleb Okoli,"€12.00m
Last update: Dec 16, 2024"
Callum Hudson-Odoi,"€24.00m
Last update: Dec 16, 2024"
Calvin Bassey,€25.00m
Cameron Archer,"€14.00m
Last update: Dec 16, 2024"
Cameron Burgess,€2.50m
Carlos Baleba,€35.00m
Carlos Soler,€20.00m
Casemiro,"€12.00m
Last update: Dec 16, 2024"
Chris Richards,€12.00m
Chris Wood,€10.00m
Christian Eriksen,€6.00m
Christian Nørgaard,€12.00m
Christopher Nkunku,"€45.00m
Last update: Mar 18, 2025"
Cody Gakpo,€70.00m
Cole Palmer,€130.00m
Conor Coady,"€3.00m
Last update: Dec 16, 2024"
Craig Dawson,€2.00m
Cristian Romero,"€55.00m
Last update: Mar 18, 2025"
Curtis Jones,€50.00m
Daichi Kamada,€15.00m
Dan Burn,€7.00m
Dango Ouattara,"€25.00m
Last update: Mar 18, 2025"
Daniel Muñoz,"€25.00m
Last update: Dec 16, 2024"
Danny Welbeck,€5.00m
Dara O'Shea,€14.00m
Darwin Núñez,€50.00m
David Raya,€40.00m
Dean Henderson,€15.00m
Dean Huijsen,€42.00m
Declan Rice,"€110.00m
Last update: Dec 16, 2024"
Dejan Kulusevski,€60.00m
Destiny Udogie,€45.00m
Diogo Dalot,€35.00m
Diogo Jota,€45.00m
Djed Spence,€15.00m
Dominic Calvert-Lewin,"€20.00m
Last update: Mar 18, 2025"
Dominic Solanke,"€45.00m
Last update: Dec 16, 2024"
Dominik Szoboszlai,€80.00m
